t=2026-03-04T07:35:06+0100 lvl=info msg="no configuration paths supplied"
t=2026-03-04T07:35:06+0100 lvl=info msg="using configuration at default config path" path=C:\\Users\\Imam\\AppData\\Local/ngrok/ngrok.yml
t=2026-03-04T07:35:06+0100 lvl=info msg="open config file" path=C:\\Users\\Imam\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-03-04T07:35:06+0100 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-03-04T07:35:06+0100 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-03-04T07:35:06+0100 lvl=info msg="client session established" obj=tunnels.session
t=2026-03-04T07:35:06+0100 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-03-04T07:42:36+0100 lvl=info msg="join connections" obj=join id=38bc1ccc05d9 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:42:36+0100 lvl=info msg="join connections" obj=join id=10e2192791e3 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:42:36+0100 lvl=info msg="join connections" obj=join id=964e7ad6fd16 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:42:36+0100 lvl=info msg="join connections" obj=join id=527ce1e383ee l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:42:36+0100 lvl=info msg="join connections" obj=join id=ca9713e76aff l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:42:36+0100 lvl=info msg="join connections" obj=join id=d60052e08654 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:42:36+0100 lvl=info msg="join connections" obj=join id=cef1a1580a76 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:42:36+0100 lvl=info msg="join connections" obj=join id=18e88074644f l=[::1]:3000 r=213.49.172.115:54255
t=2026-03-04T07:42:36+0100 lvl=info msg="join connections" obj=join id=5d22511db18a l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:42:36+0100 lvl=info msg="join connections" obj=join id=0f4b0f850668 l=[::1]:3000 r=213.49.172.115:60768
t=2026-03-04T07:42:49+0100 lvl=info msg="join connections" obj=join id=61ac81cccb1f l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:42:49+0100 lvl=info msg="join connections" obj=join id=9182dedc0006 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:42:49+0100 lvl=info msg="join connections" obj=join id=744eb8d39475 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:42:49+0100 lvl=info msg="join connections" obj=join id=c4b05c3b4ed2 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:42:49+0100 lvl=info msg="join connections" obj=join id=e61da0452924 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:42:49+0100 lvl=info msg="join connections" obj=join id=a3b29a5d4a5b l=[::1]:3000 r=213.49.172.115:54255
t=2026-03-04T07:43:47+0100 lvl=info msg="join connections" obj=join id=7c3c323d6ae9 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:43:47+0100 lvl=info msg="join connections" obj=join id=e3449971c7fb l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:43:48+0100 lvl=info msg="join connections" obj=join id=1c6192fc1ba7 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:43:48+0100 lvl=info msg="join connections" obj=join id=1a87c20a9cb1 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:43:48+0100 lvl=info msg="join connections" obj=join id=d7b0d0e2747a l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:43:48+0100 lvl=info msg="join connections" obj=join id=fcc9f7613585 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:43:48+0100 lvl=info msg="join connections" obj=join id=4ab2ca8f7ba3 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:43:48+0100 lvl=info msg="join connections" obj=join id=edf66bf62c0f l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:43:48+0100 lvl=info msg="join connections" obj=join id=7154fef6b49e l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:43:48+0100 lvl=info msg="join connections" obj=join id=d3023d02bb45 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:43:48+0100 lvl=info msg="join connections" obj=join id=b90962730983 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:43:48+0100 lvl=info msg="join connections" obj=join id=4fa14a893f0b l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:43:48+0100 lvl=info msg="join connections" obj=join id=22e1e66945ff l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:43:48+0100 lvl=info msg="join connections" obj=join id=3e7e0d6e1651 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:43:48+0100 lvl=info msg="join connections" obj=join id=ef42d7994572 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:43:48+0100 lvl=info msg="join connections" obj=join id=efeb05dbd016 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:43:48+0100 lvl=info msg="join connections" obj=join id=285e9d3e2dfb l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:43:48+0100 lvl=info msg="join connections" obj=join id=1bd73f190089 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:43:48+0100 lvl=info msg="join connections" obj=join id=797bff84e98c l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:43:48+0100 lvl=info msg="join connections" obj=join id=d57210f18fde l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:43:48+0100 lvl=info msg="join connections" obj=join id=8535f5c3648d l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:43:48+0100 lvl=info msg="join connections" obj=join id=ef0997b7b3d1 l=[::1]:3000 r=213.49.172.115:54255
t=2026-03-04T07:43:48+0100 lvl=info msg="join connections" obj=join id=3d559d4b2d2a l=[::1]:3000 r=213.49.172.115:53790
t=2026-03-04T07:43:56+0100 lvl=info msg="join connections" obj=join id=9e8aeb1865d3 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:43:56+0100 lvl=info msg="join connections" obj=join id=d2c64ede91eb l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:43:56+0100 lvl=info msg="join connections" obj=join id=006559107b0a l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:43:56+0100 lvl=info msg="join connections" obj=join id=1cce65392699 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:43:56+0100 lvl=info msg="join connections" obj=join id=edfd6bf543a1 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:43:56+0100 lvl=info msg="join connections" obj=join id=c309eb4d876a l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:43:56+0100 lvl=info msg="join connections" obj=join id=a0c30d214e32 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:43:56+0100 lvl=info msg="join connections" obj=join id=d0f9f59e88eb l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:43:56+0100 lvl=info msg="join connections" obj=join id=56c0efcc2b70 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:43:56+0100 lvl=info msg="join connections" obj=join id=b547c86b2e32 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:43:56+0100 lvl=info msg="join connections" obj=join id=30655c8a4fa7 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:43:56+0100 lvl=info msg="join connections" obj=join id=8fd743c816d3 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:43:56+0100 lvl=info msg="join connections" obj=join id=18cd7a1a55a4 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:43:56+0100 lvl=info msg="join connections" obj=join id=c781cde2616a l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:43:56+0100 lvl=info msg="join connections" obj=join id=e398b21dd1d3 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:43:56+0100 lvl=info msg="join connections" obj=join id=b18c4e2676b7 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:43:56+0100 lvl=info msg="join connections" obj=join id=6e71fe73c1ac l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:43:56+0100 lvl=info msg="join connections" obj=join id=60fced10ce1d l=[::1]:3000 r=213.49.172.115:54255
t=2026-03-04T07:43:56+0100 lvl=info msg="join connections" obj=join id=8e3b28930c17 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:43:56+0100 lvl=info msg="join connections" obj=join id=21187e412e49 l=[::1]:3000 r=213.49.172.115:56713
t=2026-03-04T07:44:11+0100 lvl=info msg="join connections" obj=join id=99a843872381 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:44:11+0100 lvl=info msg="join connections" obj=join id=8a6bbd776ec9 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:44:11+0100 lvl=info msg="join connections" obj=join id=0719f9f64b47 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:44:11+0100 lvl=info msg="join connections" obj=join id=36cfd34d11d9 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:44:11+0100 lvl=info msg="join connections" obj=join id=28c77c98361a l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:44:11+0100 lvl=info msg="join connections" obj=join id=2749651cf3b7 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:44:11+0100 lvl=info msg="join connections" obj=join id=5c86b9e9bf8c l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:44:11+0100 lvl=info msg="join connections" obj=join id=c56e8d1f3037 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:44:11+0100 lvl=info msg="join connections" obj=join id=c097fdd04677 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:44:11+0100 lvl=info msg="join connections" obj=join id=e571d43d2781 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:44:11+0100 lvl=info msg="join connections" obj=join id=c91b68321014 l=[::1]:3000 r=213.49.172.115:64068
t=2026-03-04T07:44:11+0100 lvl=info msg="join connections" obj=join id=ccce13513e4f l=[::1]:3000 r=213.49.172.115:64068
